feature_id,scope,spec,commands,queries_or_surface,tables,acceptance_ids,definition_status,implementation_status,design_followup,review_notes,coverage,system_tables
BC-13,"Post-pickup additions, removals, destination changes, transfer and driver unable to continue.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,CancelAgreement; InitiateTransfer,,freelance_agreements; manifests,QA-BC-13,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-14,"Reputation-based ordering, richer preferred-driver ranking and on-route opportunity matching.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,,Deferred,,QA-BC-14,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
BC-15,"Fares, settlement trigger, earnings, adjustments, dispute records and payout reconciliation.",product/P15-COMMERCIAL-LEDGER-AND-DEFERRED-SCOPE.md,DecideDispute; RecordSettlement,,issues; settlement_records,QA-BC-15,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IC-01,"National map of configured cities/hubs, active transport connections, selected trip and city drill-down.",product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,,GetTrips,,QA-IC-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
IC-02,"Drivers/vehicles anchored geographically between cities during zoom/pan; progress, ETA and time remaining.",product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,,UI,,QA-IC-02,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,
IC-03,"Create/edit transport trip: origin/destination, departure/arrival, driver/vehicle, capacity, receiving contact and transfer point.",product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,SaveTrip; ScheduleTrip,,transport_trips,QA-IC-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IC-04,Unbooked intercity orders and physical manifest; compatible city/date/route/capacity selection.,product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,BookTrip,,transport_trips,QA-IC-04;QA-V21-BOOKING-MANIFEST,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IC-05,"Departure, in-transit/arrival, destination receipt, discrepancy/hold, local assignment and final doorstep proof.",product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,ReceiveTrip; StagePlan,,plans; trip_bookings,QA-IC-05;QA-SYSTEM-RECEIPT-INCREMENTS;QA-SYSTEM-PREARRIVAL;QA-V21-RECEIPT-INDEPENDENCE,specified,Not certified by this specification revision,Required interaction follow-through,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IC-06,Separate linehaul driver and destination/local driver conversations and responsibility.,product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,OpenConversation,,conversations,QA-IC-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IC-07,"Trip activity, parcel counts, custody and destination History/investigation.",product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,,GetHistory,,QA-IC-07,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
IC-08,Local city work remains independent; explicit handoffs entry and return preserve context.,product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,,UI,,QA-IC-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
IC-09,City-specific cutoff/service windows and next-day transport/last-mile promises.,product/P03-DELIVERY-SLOTS-AND-OPERATING-CALENDARS.md,MoveDeliveryWindow,,deliveries,QA-IC-09,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IC-10,"Cold holding at arrival, cooling hardware, sensor alerts and national cold-chain operation.",product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,,Deferred,,QA-IC-10,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
IC-11,"Other-country networks such as Vietnam/China, currency/timezone/address/provider differences.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,SaveCity,,cities,QA-IC-11,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
MP-01,"Mapbox Operations basemap, Satellite and 3D site inspection where appropriate.",product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,,UI,,QA-MP-01,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,
MP-02,"Driver/vehicle markers, delivery pins and stop numbers, routes, selected driver/Round focus and full-extent fit.",product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,,UI,,QA-MP-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
MP-03,"Zoom, bearing/tilt, map focus/return, layers and style switch while retaining operational context.",product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,,UI,,QA-MP-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
MP-04,Traffic layer with loading/error/retry and separate provenance from ETA calculation.,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,,GetRouteEstimate,,QA-MP-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
MP-05,Rain visibility and route exposure when operationally relevant.,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,,UI,,QA-MP-05;QA-V21-WEATHER-DOUBLECOUNT,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
MP-06,"Planned route, active navigation leg and measured actual trail are distinct data.",product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,,GetRouteEstimate,,QA-MP-06,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,
MP-07,"Loading, invalid key/unavailable map, stale location and reconnect retain usable delivery list and honest status.",product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,,UI,,QA-MP-07;QA-SYSTEM-LOAD;QA-V21-GPS-WINDOW;QA-V21-REALTIME-IDENTITY,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
MP-08,Vehicle-appropriate routing for bikes/cars/vans/tuk-tuks and country-specific restrictions.,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,CreateNavigationIntent,,stops,QA-MP-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-01,Map driver click/tap opens contextual actions; message/call/Open Round/center when relationship permits.,product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,OpenConversation,,conversations,QA-CM-01,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-02,"Persistent session conversations with context/unread state, header secondary access and return to the map/job.",product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,OpenConversation,,conversations,QA-CM-02;QA-V21-INBOX-PRINCIPAL;QA-V21-CHAT-FOCUS,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-03,"Text, URLs, staged files/images, shared location and attachment handling; retain unsent drafts.",product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,SendMessage,,conversations,QA-CM-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-04,"Voice notes, call lifecycle, incoming call attention and shared contact ledger.",product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,StartCall; RespondCall,,call_sessions; conversations,QA-CM-04,specified,Not certified by this specification revision,Required interaction follow-through,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-05,Message/call/file history separate from operational status events; exact delivery reference where supplied.,product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,,GetConversation,,QA-CM-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
CM-06,Delivery context fixed for unsent draft and captured at call start; stale relationship blocks incorrect send.,product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,SendMessage,,conversations,QA-CM-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-07,Buyer/sender and recipient tracking views; configurable event/channel routing and Surprise Protection.,product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,,ExchangeTrackingToken,,QA-CM-07;QA-SYSTEM-TRACKING-REVOKE,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
CM-08,"Scheduled, out-for-delivery, material ETA change, action required, delivered, failed, retry and returned notification policy.",product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SavePolicy,,policy_bindings,QA-CM-08;QA-V21-NOTIFICATION-RETRY,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-09,"Queued, uploading, sent, delivered, failed, retrying and disconnected states reflect actual evidence.",product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,SendMessage,,conversations,QA-CM-09,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
CM-10,"Notification failure never rolls back a delivery, accepted job, custody or POD.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,CompleteDelivery,,delivery_attempts,QA-CM-10;QA-SYSTEM-WORKER-CRASH,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
HI-01,Overview / Deliveries / Drivers / Incidents; period/search/filter selection across fulfillment sources.,product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetHistory,,QA-HI-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
HI-02,"Volume, on-time, exceptions, cost and evidence/compliance summaries with explicit denominators and missing data.",product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetHistory,,QA-HI-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
HI-03,"Delivery promise/actual, source, driver, item quantities, attempts, POD, return and resolution record.",product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetDelivery,,QA-HI-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
HI-04,"Photo/signature, received-by, handoff/authorization notes, missing proof and evidence download.",product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetAssetAccess,,QA-HI-04;QA-SYSTEM-RESTORE,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
HI-05,"Incident cause, impact, reviewer note and driver-performance treatment; non-driver causes do not automatically penalize driver.",product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,CorrectIncidentCause,,issues,QA-HI-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
HI-06,Freelancer availability/offline status is not negative performance evidence outside accepted commitments.,product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetHistory,,QA-HI-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
HI-07,"Investigation summary separates assignment, recorded custody and next action; Activity / Proof & items / Communication / Address & source.",product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetHistory,,QA-HI-07,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
HI-08,Linked communications only with exact delivery context; related full conversation separately accessible.,product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetConversation,,QA-HI-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
HI-09,Activity CSV download and individual proof image access.,product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,RequestExport,,export_jobs,QA-HI-09,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
HI-10,Historical lookup does not borrow current source/custody from a reused order number.,product/P11-HISTORY-INVESTIGATION-AND-EXPORTS.md,,GetHistory,,QA-HI-10,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
ST-01,"Operating posture and own-fleet assistance settings, service/wait timing, delivery/vehicle rules and protected decisions.",product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SavePolicy,,policy_bindings,QA-ST-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-02,"Named/custom delivery windows, brand/pickup defaults, cargo classes, product-to-vehicle rules and special days.",product/P03-DELIVERY-SLOTS-AND-OPERATING-CALENDARS.md,SaveSlotTemplate; SetSlotOverride,,slot_overrides; slot_templates,QA-ST-02;QA-SYSTEM-HOLD-MOVE;QA-SYSTEM-REVISION-CAP,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-03,"Freelancer broadcasts enabled state, expanding search configuration, privacy and accepted-work boundaries.",product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SavePolicy,,policy_bindings,QA-ST-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-04,Boards/features: local cities independent of Intercity; temperature stays deferred.,product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SetFeature,,tenants,QA-ST-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-05,"Separate multi-store WooCommerce/WordPress, Shopify and Custom API source setups with city/pickup defaults.",product/P12-COMMERCE-TRACKING-AND-CUSTOMER-COMMUNICATION.md,SaveConnection,,source_connections,QA-ST-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-06,"Independent intake, fulfillment, tracking-reference and exception writeback permissions; optional paid-order hold.",product/P12-COMMERCE-TRACKING-AND-CUSTOMER-COMMUNICATION.md,SaveConnection,,source_connections,QA-ST-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-07,"Preview missing windows, city mismatch, repeated/older events, dispatched-order edits and failed writeback.",product/P12-COMMERCE-TRACKING-AND-CUSTOMER-COMMUNICATION.md,ReviewSourceRevision,,source_events,QA-ST-07,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-08,"Real authorization/revocation, source health, last received/sent, webhook intake, reconciliation and idempotent retries.",product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,,ReceiveIntegrationEvent,,QA-ST-08;QA-SYSTEM-WORKER-CRASH,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
ST-09,Disconnect or pause preserves existing operational records and evidence.,product/P12-COMMERCE-TRACKING-AND-CUSTOMER-COMMUNICATION.md,SetConnectionState,,source_connections,QA-ST-09,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-10,"Settings immediate/structured save semantics, invalid input, unsaved drafts, version conflicts and material-change consequences.",product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SavePolicy,,policy_bindings,QA-ST-10;QA-V21-TRACKING-EXPIRY,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-11,"Authentication, tenant/city roles, audit actors, durable storage, realtime updates, secure media and service credentials.",product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,,GetDelivery,,QA-ST-11;QA-SYSTEM-RLS-CROSS-TENANT;QA-SYSTEM-REALTIME-REVOKE;QA-SYSTEM-RESTORE,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
ST-12,"Business-local timezone/date, currency, phone/address locale and configured routing coverage.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,SaveCity,,cities,QA-ST-12;QA-SYSTEM-DST,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-13,"Server-owned clocks, versioned commands, one-winner acceptance, concurrent operators and offline reconciliation.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,RespondOffer,,offers,QA-ST-13;QA-SYSTEM-LAST-SLOT;QA-SYSTEM-STATE-TYPO;QA-SYSTEM-LOAD;QA-SYSTEM-MIGRATION,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
ST-14,"Subscription/entitlement administration, billing and tenant onboarding.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,CreateTenant,,tenants,QA-ST-14,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-01,"One localized app; Thai-first in Thailand, English selectable at first run and Profile.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,SaveDriverProfile,,drivers,QA-DR-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-02,"Phone/OTP, team invite or independent path, profile, vehicle, identity/live-face checks, payout setup and verification correction.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,SubmitVerification,,verification_applications,QA-DR-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-03,"Start/end shift, assigned team work, shift ending/overtime, verification pending and freelancer open/not-open home states.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,StartShift; SetAvailability,,drivers; shift_occurrences,QA-DR-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-04,"Single/multi-stop offers, eligibility, scope/fare/deadline, accept/decline, expired offer and race loss.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,RespondOffer,,offers,QA-DR-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-05,"Pickup navigation, explicit arrival, item checklist, discrepancy hold and custody confirmation.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,ConfirmArrival; ConfirmPickup,,manifests; stops,QA-DR-05;QA-SYSTEM-QUERY-CLOSURE;QA-V21-STOP-KINDS;QA-V21-PARTIAL-APPROVAL;QA-V21-FULL-PICKUP;QA-V21-SEALED-PACKAGE,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-06,"Active Round, current-stop navigation and live changes with acknowledgements/freelancer consent.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,ProposeChange; RespondChange,,change_proposals; rounds,QA-DR-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-07,"Handoff, adaptive proof/photo/signature and stop/Round completion.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,RecordHandoff; SubmitProof; CompleteDelivery,,delivery_attempts; proof_submissions,QA-DR-07;QA-SYSTEM-STALE-PROOF;QA-V21-HANDOFF-RECOVERY,specified,Not certified by this specification revision,Required interaction follow-through,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-08,"Recipient unavailable, address/entrance issue, parcel problem, cannot complete and emergency.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,ReportIssue,,issues,QA-DR-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-09,"Operations chat/call/contact history, My Rounds, Team Hours/corrections, Network Earnings, Profile and Notifications.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,,GetDriverHome,,QA-DR-09,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DR-10,"Contextual permissions, offline/reconnecting, GPS unavailable and background-location boundaries.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,ConfirmPickup,,manifests,QA-DR-10;QA-SYSTEM-OFFLINE-ORDER;QA-SYSTEM-STALE-PROOF;QA-SYSTEM-MIGRATION,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-11,Embedded navigation intent and motorcycle mode subject to provider/field gate; planned route vs navigation vs actual trail separate.,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,CreateNavigationIntent,,stops,QA-DR-11;QA-SYSTEM-NATIVE-R0,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DR-12,"Intercity arrival, parcel receipt, receiver/local driver handoff and consent parity with national board.",product/P08-INTERCITY-TRANSPORT-AND-HANDOFFS.md,ReceiveTrip; ConfirmTransferReceipt,,custody_transfers; trip_bookings,QA-DR-12;QA-SYSTEM-RECEIPT-INCREMENTS;QA-SYSTEM-QUERY-CLOSURE;QA-V21-STALE-ARRIVAL,specified,Not certified by this specification revision,Required interaction follow-through,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DF-01,"Lalamove/external provider booking, quotes, fare ceilings and provider fallback.",product/P15-COMMERCIAL-LEDGER-AND-DEFERRED-SCOPE.md,,Deferred,,QA-DF-01,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DF-02,"Temperature sensors on parcels, bike boxes, cars and transport trips; threshold alerts, stale/missing readings and intervention record.",product/P15-COMMERCIAL-LEDGER-AND-DEFERRED-SCOPE.md,,Deferred,,QA-DF-02,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DF-03,"Cooling boxes, ice packs, hub refrigeration and validated transport duration/holding windows.",product/P15-COMMERCIAL-LEDGER-AND-DEFERRED-SCOPE.md,,Deferred,,QA-DF-03,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DF-04,Vietnam/China network rollout and other-country service coverage.,product/P15-COMMERCIAL-LEDGER-AND-DEFERRED-SCOPE.md,,Deferred,,QA-DF-04,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DF-05,Building-level visit grouping and advanced ranking/on-route matching.,product/P15-COMMERCIAL-LEDGER-AND-DEFERRED-SCOPE.md,,Deferred,,QA-DF-05,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DF-06,"Florist recipes, stock age, purchasing and waste-reduction WordPress plugin.",product/P15-COMMERCIAL-LEDGER-AND-DEFERRED-SCOPE.md,,Deferred,,QA-DF-06,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
